JID,SID,Max,Med,Min,Pay_Period,Currency
3700551940,133,175000.0,,125000.0,YEARLY,USD
3700552042,134,39.0,,31.0,HOURLY,USD
3700552043,135,39.0,,31.0,HOURLY,USD
3700552264,136,175000.0,,125000.0,YEARLY,USD
3700552599,137,34.62,,15.38,HOURLY,USD
3700552890,138,175000.0,,125000.0,YEARLY,USD
3700552990,139,119400.0,,89500.0,YEARLY,USD
3700553388,140,40.0,,30.0,HOURLY,USD
3700553847,141,225400.0,,175200.0,YEARLY,USD
3700553874,142,374400.0,,283700.0,YEARLY,USD
3700553886,143,25.8,,20.0,HOURLY,USD
3700554332,144,40160.0,,35360.0,YEARLY,USD
3700554333,145,,4800.0,,MONTHLY,USD
3700554594,146,140000.0,,85000.0,YEARLY,USD
3700554617,147,364400.0,,276100.0,YEARLY,USD
3700554640,148,203100.0,,106400.0,YEARLY,USD
3700555134,149,40.0,,30.0,HOURLY,USD
3700555149,150,29.3,,20.0,HOURLY,USD
3700555490,151,175000.0,,125000.0,YEARLY,USD
3700555493,152,175000.0,,125000.0,YEARLY,USD
3700555600,153,225400.0,,175200.0,YEARLY,USD
3700555649,154,75.86,,75.86,HOURLY,USD
3700556185,155,364400.0,,276100.0,YEARLY,USD
3700556195,156,241200.0,,192700.0,YEARLY,USD
3700557016,157,175000.0,,125000.0,YEARLY,USD
3700557041,158,175000.0,,125000.0,YEARLY,USD
3700557071,159,322500.0,,221200.0,YEARLY,USD
3700558029,160,222200.0,,116400.0,YEARLY,USD
3700559014,161,23.22,,18.0,HOURLY,USD
85008768,162,52000.0,,45760.0,YEARLY,USD
903408693,163,42000.0,,37000.0,YEARLY,USD
1029078768,164,50.0,,50.0,HOURLY,USD
1535492735,165,20.0,,18.0,HOURLY,USD
2282679989,166,20.0,,15.0,HOURLY,USD
2730408164,167,27.0,,18.0,HOURLY,USD
2885838641,168,25.0,,18.0,HOURLY,USD
3047547711,169,45.0,,25.0,HOURLY,USD
3108036575,170,90309.0,,82981.0,YEARLY,USD
3243289926,171,80000.0,,77000.0,YEARLY,USD
3313349770,172,45000.0,,40000.0,YEARLY,USD
3395626440,173,37.53,,27.63,HOURLY,USD
3422104915,174,100000.0,,75000.0,YEARLY,USD
3529464114,175,35.0,,25.0,HOURLY,USD
3558876274,176,100000.0,,60000.0,YEARLY,USD
3584068782,177,70000.0,,60000.0,YEARLY,USD
3587919328,178,110000.0,,100000.0,YEARLY,USD
3601203087,179,120000.0,,70000.0,YEARLY,USD
3618024320,180,70000.0,,55000.0,YEARLY,USD
3635154108,181,22.0,,18.0,HOURLY,USD
3637608593,182,23.0,,18.0,HOURLY,USD
3643209562,183,95500.0,,78000.0,YEARLY,USD
3643371518,184,25.0,,20.0,HOURLY,USD
3644109811,185,65000.0,,55000.0,YEARLY,USD
3666015999,186,,33.59,,HOURLY,USD
3668771880,187,87000.0,,60000.0,YEARLY,USD
3669525119,188,,67.0,,HOURLY,USD
3673294109,189,60000.0,,50000.0,YEARLY,USD
3678500518,190,28.0,,24.0,HOURLY,USD
3680164564,191,220000.0,,160000.0,YEARLY,USD
3680807523,192,210287.09,,159694.45,YEARLY,USD
3681440546,193,65000.0,,45000.0,YEARLY,USD
3682818140,194,150.0,,100.0,YEARLY,USD
3689394048,195,60.0,,45.0,HOURLY,USD
3692363916,196,16.0,,14.0,HOURLY,USD
3692364583,197,170000.0,,70000.0,YEARLY,USD
3693028967,198,50.0,,15.0,HOURLY,USD
3693032353,199,23.48,,23.48,HOURLY,USD
3693033842,200,85000.0,,75000.0,YEARLY,USD
3693034684,201,56.0,,51.0,HOURLY,USD
3693035554,202,160000.0,,120000.0,YEARLY,USD
3693036941,203,100000.0,,65000.0,YEARLY,USD
3693037942,204,67243.0,,55999.0,YEARLY,USD
3693038606,205,90000.0,,60000.0,YEARLY,USD
3693038731,206,75000.0,,65000.0,YEARLY,USD
3693039588,207,96180.0,,79060.0,YEARLY,USD
3693039821,208,21.0,,14.0,HOURLY,USD
3693039968,209,35.0,,30.0,HOURLY,USD
3693039983,210,55000.0,,52000.0,YEARLY,USD
3693040696,211,60.16,,38.26,HOURLY,USD
3693040776,212,65000.0,,60000.0,YEARLY,USD
3693040868,213,28.0,,22.0,HOURLY,USD
3693040913,214,70000.0,,59000.0,YEARLY,USD
3693040988,215,54.0,,42.0,HOURLY,USD
3693041555,216,62000.0,,60000.0,YEARLY,USD
3693041630,217,14.0,,14.0,HOURLY,USD
3693041637,218,40.0,,35.0,HOURLY,USD
3693041825,219,130000.0,,100000.0,YEARLY,USD
3693041882,220,23.0,,20.0,HOURLY,USD
3693041894,221,105000.0,,95000.0,YEARLY,USD
3693041907,222,75.0,,60.0,HOURLY,USD
3693041910,223,49.0,,40.0,HOURLY,USD
3693041913,224,46000.0,,42000.0,YEARLY,USD
3693041916,225,80000.0,,70000.0,YEARLY,USD
3693041922,226,95000.0,,75000.0,YEARLY,USD
3693041930,227,27.0,,27.0,HOURLY,USD
3693041955,228,160000.0,,110000.0,YEARLY,USD
3693041956,229,60000.0,,50000.0,YEARLY,USD
3693041960,230,145000.0,,90000.0,YEARLY,USD
3693041970,231,27.65,,20.43,HOURLY,USD
3693041982,232,125000.0,,95000.0,YEARLY,USD
3693041983,233,16.0,,16.0,YEARLY,USD
3693041990,234,150000.0,,60000.0,YEARLY,USD
3693041994,235,25.0,,23.0,HOURLY,USD
3693042772,236,,15.5,,HOURLY,USD
3693042878,237,150000.0,,110000.0,YEARLY,USD
3693042885,238,95000.0,,80000.0,YEARLY,USD
3693042908,239,125000.0,,115000.0,YEARLY,USD
3693042911,240,65000.0,,60000.0,YEARLY,USD
3693042936,241,57.0,,50.0,HOURLY,USD
3693042942,242,126000.0,,100000.0,YEARLY,USD
3693042944,243,18.5,,15.0,HOURLY,USD
3693042945,244,130000.0,,95000.0,YEARLY,USD
3693042951,245,120000.0,,90000.0,YEARLY,USD
3693042954,246,70000.0,,60000.0,YEARLY,USD
3693042971,247,68000.0,,64000.0,YEARLY,USD
3693042974,248,182700.0,,104400.0,YEARLY,USD
3693042975,249,175000.0,,125000.0,YEARLY,USD
3693042977,250,120000.0,,100000.0,YEARLY,USD
3693042983,251,17.5,,17.5,HOURLY,USD
3693043308,252,110000.0,,85000.0,YEARLY,USD
3693043359,253,18.0,,17.0,HOURLY,USD
3693043608,254,25.0,,20.0,HOURLY,USD
3693043623,255,150000.0,,130000.0,YEARLY,USD
3693043626,256,34.94,,20.66,HOURLY,USD
3693043649,257,90956.0,,79254.0,YEARLY,USD
3693043650,258,55000.0,,35000.0,YEARLY,USD
3693043655,259,220000.0,,180000.0,YEARLY,USD
3693043658,260,31.35,,19.54,HOURLY,USD
3693043675,261,150000.0,,100000.0,YEARLY,USD
3693043688,262,85000.0,,80000.0,YEARLY,USD
3693043689,263,27.0,,22.0,HOURLY,USD
3693043692,264,,43.0,,HOURLY,USD
3693043695,265,120000.0,,100000.0,YEARLY,USD
3693043698,266,130000.0,,110000.0,YEARLY,USD
3693043700,267,75.0,,65.0,HOURLY,USD
3693043702,268,95000.0,,75000.0,YEARLY,USD
3693043721,269,170000.0,,155000.0,YEARLY,USD
3693043725,270,225000.0,,180000.0,YEARLY,USD
3693043727,271,105.0,,95.0,HOURLY,USD
3693043736,272,115000.0,,95000.0,YEARLY,USD
3693043742,273,145000.0,,90000.0,YEARLY,USD
3693043747,274,,20.0,,HOURLY,USD
3693043758,275,70000.0,,60000.0,YEARLY,USD
3693043812,276,24.0,,20.0,HOURLY,USD
3693043815,277,60.0,,60.0,HOURLY,USD
3693043836,278,90000.0,,75000.0,YEARLY,USD
3693043839,279,189735.0,,125580.0,YEARLY,USD
3693043840,280,35.0,,35.0,HOURLY,USD
3693043845,281,25.0,,25.0,HOURLY,USD
3693043848,282,38.0,,35.0,YEARLY,USD
3693043849,283,25.0,,25.0,HOURLY,USD
3693043850,284,85000.0,,80000.0,YEARLY,USD
3693043851,285,70.0,,55.0,HOURLY,USD
3693043852,286,150000.0,,130000.0,YEARLY,USD
3693043855,287,65000.0,,60000.0,YEARLY,USD
3693043860,288,22.0,,18.0,HOURLY,USD
3693043870,289,125000.0,,100000.0,YEARLY,USD
3693043871,290,75000.0,,67000.0,YEARLY,USD
3693043876,291,125000.0,,100000.0,YEARLY,USD
3693043878,292,135000.0,,125000.0,YEARLY,USD
3693043881,293,160000.0,,140000.0,YEARLY,USD
3693043884,294,60000.0,,50000.0,YEARLY,USD
3693043905,295,24.0,,22.0,HOURLY,USD
3693043913,296,90000.0,,70000.0,YEARLY,USD
3693043918,297,65.0,,60.0,HOURLY,USD
3693043936,298,90000.0,,70000.0,YEARLY,USD
3693043945,299,120000.0,,100000.0,YEARLY,USD
3693043959,300,120000.0,,95000.0,YEARLY,USD
3693043967,301,,60.0,,HOURLY,USD
3693043976,302,105000.0,,90000.0,YEARLY,USD
3693043980,303,100000.0,,80000.0,YEARLY,USD
3693044269,304,55.0,,50.0,HOURLY,USD
3693044271,305,18.0,,16.0,YEARLY,USD
3693044273,306,125000.0,,85000.0,YEARLY,USD
3693044277,307,70000.0,,50000.0,YEARLY,USD
3693044281,308,113000.0,,75300.0,YEARLY,USD
3693044299,309,24.0,,20.0,HOURLY,USD
3693044300,310,28.0,,24.0,HOURLY,USD
3693044307,311,100000.0,,95000.0,YEARLY,USD
3693044310,312,55.0,,42.0,HOURLY,USD
3693044312,313,60000.0,,60000.0,YEARLY,USD
3693044317,314,65.0,,53.0,HOURLY,USD
3693044318,315,30.0,,27.0,HOURLY,USD
3693044326,316,250000.0,,175000.0,YEARLY,USD
3693044327,317,150000.0,,100000.0,YEARLY,USD
3693044338,318,26.0,,26.0,HOURLY,USD
3693044340,319,180000.0,,160000.0,YEARLY,USD
3693044348,320,104622.0,,85406.0,YEARLY,USD
3693044349,321,170000.0,,120000.0,YEARLY,USD
3693044351,322,110000.0,,95000.0,YEARLY,USD
3693044363,323,75000.0,,60000.0,YEARLY,USD
3693044376,324,33.0,,30.0,HOURLY,USD
3693044419,325,126815.0,,83265.0,YEARLY,USD
3693044420,326,70000.0,,60000.0,YEARLY,USD
3693044456,327,220000.0,,180000.0,YEARLY,USD
3693044457,328,55.0,,50.0,HOURLY,USD
3693044461,329,115000.0,,90000.0,YEARLY,USD
3693044463,330,95000.0,,85000.0,YEARLY,USD
3693044473,331,35.0,,28.0,HOURLY,USD
3693044477,332,75000.0,,45000.0,YEARLY,USD
3693044479,333,65000.0,,55000.0,YEARLY,USD
3693044480,334,32.0,,29.0,HOURLY,USD
3693044491,335,45.0,,40.0,HOURLY,USD
3693044497,336,150000.0,,100000.0,YEARLY,USD
3693044517,337,60000.0,,50000.0,YEARLY,USD
3693044535,338,65000.0,,65000.0,YEARLY,USD
3693044540,339,38000.0,,35000.0,YEARLY,USD
3693044545,340,22.0,,22.0,HOURLY,USD
3693044547,341,120000.0,,85000.0,YEARLY,USD
3693044557,342,146000.0,,115000.0,YEARLY,USD
3693044565,343,184305.0,,140056.0,YEARLY,USD
3693044568,344,,150000.0,,YEARLY,USD
3693044578,345,138792.0,,110940.0,YEARLY,USD
3693044608,346,160000.0,,140000.0,YEARLY,USD
3693044634,347,230000.0,,200000.0,YEARLY,USD
3693044635,348,150000.0,,125000.0,YEARLY,USD
3693044649,349,85000.0,,75000.0,YEARLY,USD
3693044650,350,25.0,,22.0,HOURLY,USD
3693044658,351,85000.0,,65000.0,YEARLY,USD
3693044669,352,200000.0,,160000.0,YEARLY,USD
3693044673,353,158000.0,,130000.0,YEARLY,USD
3693044699,354,75.0,,42.0,HOURLY,USD
3693044705,355,135000.0,,90000.0,YEARLY,USD
3693044714,356,8000.0,,2000.0,MONTHLY,USD
3693044727,357,75000.0,,65000.0,YEARLY,USD
3693044736,358,95000.0,,85000.0,YEARLY,USD
3693044741,359,,47.0,,HOURLY,USD
3693044744,360,85000.0,,75000.0,YEARLY,USD
3693044745,361,57000.0,,52000.0,YEARLY,USD
3693044748,362,6907.0,,5518.0,MONTHLY,USD
3693044760,363,,135000.0,,YEARLY,USD
3693044765,364,160000.0,,150000.0,YEARLY,USD
3693044800,365,56.0,,50.0,HOURLY,USD
3693044806,366,107.14,,90.0,HOURLY,USD
3693044807,367,80000.0,,70000.0,YEARLY,USD
3693044809,368,25.0,,25.0,HOURLY,USD
3693044837,369,85.0,,80.0,HOURLY,USD
3693044845,370,50.0,,38.0,HOURLY,USD
3693044873,371,89000.0,,89000.0,YEARLY,USD
3693044878,372,52.0,,40.0,HOURLY,USD
3693044886,373,87000.0,,80000.0,YEARLY,USD
3693044890,374,115.0,,78.0,HOURLY,USD
3693044891,375,25.0,,20.0,HOURLY,USD
3693044911,376,85000.0,,85000.0,YEARLY,USD
3693044914,377,110000.0,,65000.0,YEARLY,USD
3693044917,378,20.0,,17.0,HOURLY,USD
3693044919,379,125000.0,,100000.0,YEARLY,USD
3693044924,380,27300.0,,19000.0,YEARLY,USD
3693044925,381,250.0,,200.0,HOURLY,USD
3693044955,382,86000.0,,66500.0,YEARLY,USD
3693044964,383,220000.0,,80000.0,YEARLY,USD
3693044984,384,65.0,,60.0,HOURLY,USD
3693044985,385,70.0,,65.0,HOURLY,USD
3693045025,386,30.0,,26.87,HOURLY,USD
3693045160,387,100000.0,,60000.0,YEARLY,USD
3693045172,388,,70000.0,,YEARLY,USD
3693045179,389,130000.0,,120000.0,YEARLY,USD
3693045185,390,100.0,,100.0,HOURLY,USD
3693045191,391,95.0,,90.0,HOURLY,USD
3693045195,392,65000.0,,55000.0,YEARLY,USD
3693045222,393,185500.0,,95300.0,YEARLY,USD
3693045232,394,80000.0,,65000.0,YEARLY,USD
3693045236,395,23.0,,20.0,HOURLY,USD
3693045237,396,26.0,,24.0,HOURLY,USD
3693045241,397,75.0,,65.0,HOURLY,USD
3693045242,398,26.0,,20.0,HOURLY,USD
3693045251,399,148000.0,,55000.0,YEARLY,USD
3693045253,400,190000.0,,160000.0,YEARLY,USD
3693045257,401,160000.0,,140000.0,YEARLY,USD
3693045259,402,225000.0,,150000.0,YEARLY,USD
3693045260,403,125000.0,,100000.0,YEARLY,USD
3693045264,404,80.0,,65.0,HOURLY,USD
3693045265,405,18.0,,17.0,HOURLY,USD
3693045279,406,,18.0,,HOURLY,USD
3557311439,407,50000.0,,45000.0,YEARLY,USD
3689687080,408,110000.0,,90000.0,YEARLY,USD
3693045283,409,60000.0,,48000.0,YEARLY,USD
3693045284,410,82.5,,75.0,HOURLY,USD
3693045288,411,150000.0,,115000.0,YEARLY,USD
3693045289,412,25.0,,22.0,HOURLY,USD
3693045292,413,65.0,,55.0,HOURLY,USD
3693045295,414,225000.0,,135000.0,YEARLY,USD
3693045296,415,60000.0,,50000.0,YEARLY,USD
3693045304,416,67.0,,62.0,HOURLY,USD
3693045305,417,,20.0,,HOURLY,USD
3693045318,418,,24.25,,HOURLY,USD
3693045365,419,45.0,,40.0,HOURLY,USD
3693045370,420,,20.0,,HOURLY,USD
3693045379,421,24.0,,20.0,HOURLY,USD
3693045386,422,80000.0,,70000.0,YEARLY,USD
3693045389,423,85000.0,,70000.0,YEARLY,USD
3693045397,424,120000.0,,115000.0,YEARLY,USD
3693045432,425,125000.0,,95000.0,YEARLY,USD
3693045435,426,100000.0,,90000.0,YEARLY,USD
3693045448,427,57.0,,53.0,HOURLY,USD
3693045456,428,60480.0,,47520.0,YEARLY,USD
3693045463,429,55000.0,,45000.0,YEARLY,USD
3693045464,430,160000.0,,140000.0,YEARLY,USD
3693045467,431,28.0,,28.0,HOURLY,USD
3693045468,432,70000.0,,60000.0,YEARLY,USD
3693045472,433,30.0,,25.0,HOURLY,USD
3693045487,434,14.42,,14.42,HOURLY,USD
3693045490,435,50.0,,30.0,HOURLY,USD
3693045493,436,35.0,,28.0,HOURLY,USD
3693045496,437,26.0,,24.0,HOURLY,USD
3693045500,438,,25.0,,HOURLY,USD
3693045504,439,85000.0,,75000.0,YEARLY,USD
3693045586,440,200000.0,,100000.0,YEARLY,USD
3693045590,441,,100000.0,,YEARLY,USD
3693045623,442,,250000.0,,YEARLY,USD
3693045636,443,75000.0,,65000.0,YEARLY,USD
3693045644,444,70000.0,,60000.0,YEARLY,USD
3693045680,445,90000.0,,45000.0,YEARLY,USD
3693045681,446,65000.0,,55000.0,YEARLY,USD
3693045684,447,50.0,,46.0,HOURLY,USD
3693045703,448,155000.0,,135000.0,YEARLY,USD
3693045710,449,140000.0,,100000.0,YEARLY,USD
3693045711,450,90000.0,,70000.0,YEARLY,USD
3693045715,451,,38.0,,HOURLY,USD
3693045753,452,36.0,,25.0,HOURLY,USD
3693045756,453,85.0,,80.0,HOURLY,USD
3693045799,454,17.0,,17.0,HOURLY,USD
3693045800,455,71.0,,51.0,HOURLY,USD
3693045810,456,50.0,,35.0,HOURLY,USD
3693045819,457,194500.0,,115500.0,YEARLY,USD
3693045841,458,80000.0,,70000.0,YEARLY,USD
3693045847,459,70000.0,,50000.0,YEARLY,USD
3693045874,460,80000.0,,65000.0,YEARLY,USD
3693045876,461,32.0,,30.0,HOURLY,USD
3693045892,462,180000.0,,140000.0,YEARLY,USD
3693045896,463,170000.0,,110000.0,YEARLY,USD
3693045898,464,80.0,,70.0,HOURLY,USD
3693045902,465,,40000.0,,YEARLY,USD
3693045905,466,23.0,,19.0,HOURLY,USD
3693045921,467,,29.91,,HOURLY,USD
3693045946,468,22.5,,20.5,HOURLY,USD
3693045955,469,33.0,,30.0,HOURLY,USD
3693045963,470,28.0,,21.0,HOURLY,USD
3693045971,471,110400.0,,69700.0,YEARLY,USD
3693045977,472,54.0,,51.0,HOURLY,USD
3693046079,473,,65.0,,HOURLY,USD
3693046080,474,65000.0,,55000.0,YEARLY,USD
3693046081,475,125000.0,,90000.0,YEARLY,USD
3693046086,476,160000.0,,140000.0,YEARLY,USD
3693046106,477,,150000.0,,YEARLY,USD
3693046109,478,35.0,,30.0,HOURLY,USD
3693046111,479,70000.0,,55000.0,YEARLY,USD
3693046116,480,75000.0,,55000.0,YEARLY,USD
3693046119,481,50.0,,40.0,HOURLY,USD
3693046120,482,62254.4,,62254.4,YEARLY,USD
3693046128,483,122774.0,,84225.0,YEARLY,USD
3693046131,484,44.0,,36.0,HOURLY,USD
3693046140,485,75000.0,,55000.0,YEARLY,USD
3693046142,486,135000.0,,100000.0,YEARLY,USD
3693046145,487,140000.0,,120000.0,YEARLY,USD
3693046147,488,98.0,,90.0,HOURLY,USD
3693046152,489,145000.0,,90000.0,YEARLY,USD
3693046153,490,55000.0,,50000.0,YEARLY,USD
3693046159,491,70000.0,,60000.0,YEARLY,USD
3693046160,492,65.0,,50.0,HOURLY,USD
3693046164,493,73.0,,72.0,HOURLY,USD
3693046169,494,136000.0,,131331.0,YEARLY,USD
3693046171,495,65000.0,,60000.0,YEARLY,USD
3693046176,496,30.0,,25.0,HOURLY,USD
3693046187,497,100000.0,,100000.0,YEARLY,USD
3693046198,498,,200000.0,,YEARLY,USD
3693046225,499,115000.0,,110000.0,YEARLY,USD
3693046272,500,65000.0,,55000.0,YEARLY,USD
3693046275,501,200000.0,,180000.0,YEARLY,USD
3693046276,502,35.0,,28.0,HOURLY,USD
3693046279,503,60.0,,50.0,HOURLY,USD
3693046284,504,215000.0,,190000.0,YEARLY,USD
3693046287,505,65.38,,44.71,HOURLY,USD
3693046289,506,95000.0,,75000.0,YEARLY,USD
3693046297,507,34.0,,25.0,HOURLY,USD
3693046308,508,,75000.0,,YEARLY,USD
3693046310,509,92000.0,,58500.0,YEARLY,USD
3693046312,510,55000.0,,40000.0,YEARLY,USD
3693046316,511,99.0,,98.0,YEARLY,USD
3693046325,512,215000.0,,175000.0,YEARLY,USD
3693046340,513,48.0,,40.0,HOURLY,USD
3693046343,514,,70.0,,HOURLY,USD
3693046357,515,90000.0,,70000.0,YEARLY,USD
3693046365,516,14.42,,14.42,HOURLY,USD
3693046369,517,18.0,,17.0,HOURLY,USD
3693046384,518,53.0,,50.0,HOURLY,USD
3693046386,519,50000.0,,45000.0,YEARLY,USD
3693046391,520,16.0,,14.0,HOURLY,USD
3693046398,521,32.0,,30.0,HOURLY,USD
3693046445,522,210000.0,,161500.0,YEARLY,USD
3693046466,523,,25.0,,HOURLY,USD
3693046477,524,30.0,,30.0,HOURLY,USD
3693046479,525,57000.0,,50000.0,YEARLY,USD
3693046487,526,35.0,,30.0,HOURLY,USD
3693046503,527,43.0,,43.0,HOURLY,USD
3693046507,528,75.0,,65.0,HOURLY,USD
3693046511,529,60000.0,,52000.0,YEARLY,USD
3693046513,530,,19.0,,HOURLY,USD
3693046528,531,125000.0,,70000.0,YEARLY,USD
3693046536,532,24.0,,18.0,HOURLY,USD
3693046554,533,25.0,,23.0,HOURLY,USD
3693046563,534,99000.0,,66000.0,YEARLY,USD
3693046570,535,200000.0,,175000.0,YEARLY,USD
3693046572,536,200000.0,,150000.0,YEARLY,USD
3693046591,537,65000.0,,50000.0,YEARLY,USD
3693046595,538,135000.0,,115000.0,YEARLY,USD
